time_min,cashier_queue,usher_queue,food_queue,cashiers_busy,ushers_busy,servers_busy,total_served
18.0,43,0,4,5,0,3,38
18.25,41,0,5,5,1,3,39
18.5,41,0,5,5,0,3,41
18.75,42,0,5,5,0,3,41
19.0,44,0,5,5,0,3,41
19.25,43,0,7,5,0,3,41
19.5,44,0,7,5,0,3,41
19.75,45,0,7,5,0,3,41
20.0,47,0,7,5,0,3,41
20.25,47,0,6,5,1,3,42
20.5,48,0,6,5,0,3,43
20.75,49,0,6,5,0,3,43
21.0,51,0,6,5,0,3,43
21.25,50,0,4,5,0,3,47
21.5,50,0,4,5,0,3,48
21.75,51,0,4,5,0,3,48
22.0,53,0,4,5,0,3,48
22.25,51,0,4,5,1,3,50
22.5,52,0,5,5,0,3,50
22.75,53,0,5,5,0,3,50
23.0,55,0,5,5,0,3,50
23.25,54,0,6,5,0,3,51
23.5,55,0,6,5,0,3,51
23.75,56,0,6,5,0,3,51
24.0,58,0,6,5,0,3,51
24.25,58,0,6,5,0,3,52
24.5,58,0,7,5,0,3,52
24.75,59,0,7,5,0,3,52
25.0,61,0,7,5,0,3,52
25.25,59,0,7,5,1,3,54
25.5,60,0,8,5,0,3,54
25.75,61,0,8,5,0,3,54
26.0,63,0,8,5,0,3,54
26.25,62,0,7,5,1,3,56
26.5,62,0,8,5,0,3,57
26.75,63,0,8,5,0,3,57
27.0,65,0,8,5,0,3,57
27.25,63,0,7,5,0,3,61
27.5,63,0,7,5,0,3,62
27.75,64,0,7,5,0,3,62
28.0,66,0,7,5,0,3,62
28.25,66,0,6,5,0,3,64
28.5,67,0,6,5,0,3,64
28.75,68,0,6,5,0,3,64
29.0,70,0,6,5,0,3,64
29.25,69,0,5,5,1,3,66
29.5,69,0,7,5,0,3,66
29.75,70,0,7,5,0,3,66
30.0,72,0,7,5,0,3,66
30.25,69,0,9,5,1,3,67
30.5,70,0,10,5,0,3,67
30.75,71,0,10,5,0,3,67
31.0,73,0,10,5,0,3,67
31.25,72,0,10,5,0,3,69
31.5,73,0,10,5,0,3,69
31.75,74,0,10,5,0,3,69
32.0,76,0,10,5,0,3,69
32.25,75,0,8,5,1,3,72
32.5,75,0,9,5,0,3,73
32.75,76,0,9,5,0,3,73
33.0,78,0,9,5,0,3,73
33.25,76,0,9,5,1,3,75
33.5,77,0,9,5,0,3,76
33.75,78,0,9,5,0,3,76
34.0,80,0,9,5,0,3,76
34.25,78,0,11,5,0,3,77
34.5,78,0,11,5,0,3,78
34.75,79,0,11,5,0,3,78
35.0,81,0,11,5,0,3,78
35.25,80,0,12,5,1,3,78
35.5,81,0,13,5,0,3,78
35.75,82,0,13,5,0,3,78
36.0,84,0,13,5,0,3,78
36.25,82,0,13,5,1,3,80
36.5,83,0,13,5,0,3,81
36.75,84,0,13,5,0,3,81
37.0,86,0,13,5,0,3,81
37.25,86,0,12,5,0,3,83
37.5,86,0,13,5,0,3,83
37.75,87,0,13,5,0,3,83
38.0,88,0,13,5,0,3,83
38.25,87,0,14,5,1,3,84
38.5,87,0,14,5,0,3,86
38.75,88,0,14,5,0,3,86
39.0,89,0,14,5,0,3,86
39.25,89,0,14,5,1,3,87
39.5,90,0,15,5,0,3,87
39.75,91,0,15,5,0,3,87
40.0,92,0,15,5,0,3,87
40.25,92,0,15,5,1,3,88
40.5,92,0,15,5,0,3,90
40.75,93,0,15,5,0,3,90
41.0,94,0,15,5,0,3,90
41.25,94,0,15,5,0,3,92
41.5,95,0,15,5,0,3,92
41.75,96,0,15,5,0,3,92
42.0,97,0,15,5,0,3,92
42.25,97,0,15,5,1,3,93
42.5,97,0,16,5,0,3,94
42.75,98,0,16,5,0,3,94
43.0,99,0,16,5,0,3,94
43.25,101,0,14,5,0,3,96
43.5,102,0,14,5,0,3,96
