time_min,cashier_queue,usher_queue,food_queue,cashiers_busy,ushers_busy,servers_busy,total_served,event,moviegoer,wait_time_min
8.05,0,1,0,9,1,7,24,food_received,17,
8.05,0,1,0,9,1,7,25,enter_theater,17,5.05
8.05,0,1,0,9,0,7,25,ticket_checked,27,
8.05,0,1,0,9,0,7,26,enter_theater,27,3.05
8.05,0,0,0,9,1,7,26,start_ticket_check,32,
8.1,0,0,0,9,0,7,26,ticket_checked,32,
8.1,0,0,0,9,0,8,26,join_food_queue,32,
8.1,0,0,0,9,0,8,26,start_food_order,32,
8.2,0,0,0,9,0,8,26,arrive,43,
8.2,0,0,0,10,0,8,26,join_cashier_queue,43,
8.2,0,0,0,10,0,8,26,start_purchase,43,
8.4,0,0,0,10,0,8,26,arrive,44,
8.4,1,0,0,10,0,8,26,join_cashier_queue,44,
8.6,1,0,0,10,0,8,26,arrive,45,
8.6,2,0,0,10,0,8,26,join_cashier_queue,45,
8.6,2,0,0,9,0,8,26,ticket_purchased,39,
8.6,2,0,0,9,1,8,26,join_usher_queue,39,
8.6,1,0,0,10,1,8,26,start_ticket_check,39,
8.6,1,0,0,10,1,8,26,start_purchase,44,
8.6,1,0,0,9,1,8,26,ticket_purchased,40,
8.6,1,1,0,9,1,8,26,join_usher_queue,40,
8.6,0,1,0,10,1,8,26,start_purchase,45,
8.65,0,1,0,10,0,8,26,ticket_checked,39,
8.65,0,1,0,10,0,9,26,join_food_queue,39,
8.65,0,0,0,10,1,9,26,start_food_order,39,
8.65,0,0,0,10,1,9,26,start_ticket_check,40,
8.7,0,0,0,10,0,9,26,ticket_checked,40,
8.7,0,0,0,10,0,10,26,join_food_queue,40,
8.7,0,0,0,10,0,10,26,start_food_order,40,
8.8,0,0,0,10,0,10,26,arrive,46,
8.8,1,0,0,10,0,10,26,join_cashier_queue,46,
8.9,1,0,0,10,0,9,26,food_received,26,
8.9,1,0,0,10,0,9,27,enter_theater,26,4.1
9.0,1,0,0,10,0,9,27,arrive,47,
9.0,2,0,0,10,0,9,27,join_cashier_queue,47,
9.05,2,0,0,10,0,8,27,food_received,22,
9.05,2,0,0,10,0,8,28,enter_theater,22,5.05
9.2,2,0,0,10,0,8,28,arrive,48,
9.2,3,0,0,10,0,8,28,join_cashier_queue,48,
9.2,3,0,0,9,0,8,28,ticket_purchased,37,
9.2,3,0,0,9,1,8,28,join_usher_queue,37,
9.2,2,0,0,10,1,8,28,start_ticket_check,37,
9.2,2,0,0,10,1,8,28,start_purchase,46,
9.25,2,0,0,10,0,8,28,ticket_checked,37,
9.25,2,0,0,10,0,8,29,enter_theater,37,2.25
9.4,2,0,0,10,0,8,29,arrive,49,
9.4,3,0,0,10,0,8,29,join_cashier_queue,49,
9.4,3,0,0,9,0,8,29,ticket_purchased,34,
9.4,3,0,0,9,1,8,29,join_usher_queue,34,
9.4,3,0,0,8,1,8,29,ticket_purchased,38,
9.4,3,1,0,8,1,8,29,join_usher_queue,38,
9.4,2,1,0,9,1,8,29,start_ticket_check,34,
9.4,1,1,0,10,1,8,29,start_purchase,47,
9.4,1,1,0,10,1,8,29,start_purchase,48,
9.45,1,1,0,10,0,8,29,ticket_checked,34,
9.45,1,1,0,10,0,8,30,enter_theater,34,3.05
9.45,1,0,0,10,1,8,30,start_ticket_check,38,
9.5,1,0,0,10,0,8,30,ticket_checked,38,
9.5,1,0,0,10,0,8,31,enter_theater,38,2.3
9.6,1,0,0,10,0,8,31,arrive,50,
